No,Classification,label,notation,easting,northing,lat,long,easting_count,northing_count,coordinate,wiskiID,dateOpened,datum,boreholeDepth,aquifer,dipped,logged,amount_dipped,start_dipped,end_dipped,amount_logged,start_logged,end_logged,CHARACTER,FLOW_MECHA,Elevation,distance,Top aquifer
59,Slow increasing,Trowley Bottom Farm,7af4d245-cf17-455e-bfdc-6c5fcd42df1b,507710,213850,51.812908,-0.438941,1,1,,TL01_18,1/9/1975,116.75,45.7,Chalk,http://environment.data.gov.uk/hydrology/id/measures/7af4d245-cf17-455e-bfdc-6c5fcd42df1b-gw-dipped-i-mAOD-qualified,,496,1/9/1975,11/6/2023,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,116.9633026,29901.22693,Chalk
60,,Glynch 3,327c5a5d-b990-4dc3-9c45-e45844f7e63b_26348,374319,233620,52.000414,-2.375479,1,1,,26348,3/31/2014,52.64,,,,http://environment.data.gov.uk/hydrology/id/measures/327c5a5d-b990-4dc3-9c45-e45844f7e63b_26348-gw-logged-i-subdaily-mAOD-qualified,,,,86962,3/31/2014,3/1/2024,Highly productive aquifer,Significant intergranular flow,52.7105217,1128.399197,Triassic sandstones
61,Sudden upward change,Pipe Green,73ce392f-0891-4233-b9c0-98ecfaf1e557,410622,309643,52.684369,-1.844301,1,1,,1066GW,3/5/1992,82.26,,,http://environment.data.gov.uk/hydrology/id/measures/73ce392f-0891-4233-b9c0-98ecfaf1e557-gw-dipped-i-mAOD-qualified,,363,3/5/1992,1/17/2024,,,,Highly productive aquifer,Significant intergranular flow,82.61011505,4946.649425,Triassic sandstones
62,No trend,Itteringham 2,76e6589c-c776-40f0-bac1-6e962d336256,613063,332152,52.844696,1.16238,1,2,,TG13_320B,9/6/1984,47.07,,,http://environment.data.gov.uk/hydrology/id/measures/76e6589c-c776-40f0-bac1-6e962d336256-gw-dipped-i-mAOD-qualified,,407,9/6/1984,1/16/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,46.5690155,83388.53098,Chalk
63,No trend,Winchester Guildhall,90fd2961-bed5-4105-90fd-96349115fcb6,448505,129295,51.060948,-1.309225,1,1,,142206952,12/11/2000,35.7,5,New Pit Chalk Member,http://environment.data.gov.uk/hydrology/id/measures/90fd2961-bed5-4105-90fd-96349115fcb6-gw-dipped-i-mAOD-qualified,,286,12/11/2000,1/29/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,36.06915283,39784.3388,Chalk
64,,Hambleton,8ac175df-5d44-40c4-af14-5a7c46fdeaca,456331,431418,53.776045,-1.146705,1,1,,SE53HST0SS,1/5/1989,7.25,,SS,http://environment.data.gov.uk/hydrology/id/measures/8ac175df-5d44-40c4-af14-5a7c46fdeaca-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/8ac175df-5d44-40c4-af14-5a7c46fdeaca-gw-logged-i-subdaily-mAOD-qualified,299,1/5/1989,7/28/2023,165240,7/26/1989,10/26/2023,Highly productive aquifer,Significant intergranular flow,7.065656185,4138.406112,Triassic sandstones
65,,Cocker Bridge,82562637-e59a-4e38-91e7-020a222caef2,345255,451355,53.955361,-2.835742,1,1,,SD45_3,11/1/1965,,,,http://environment.data.gov.uk/hydrology/id/measures/82562637-e59a-4e38-91e7-020a222caef2-gw-dipped-i-mAOD-qualified,,432,11/1/1965,10/25/2023,,,,Highly productive aquifer,Significant intergranular flow,5.025273323,2460.811152,Triassic sandstones
66,,Lynstead,49b43b86-1f00-4df0-b7e0-d16e1e0aab6a,594652,160394,51.309359,0.791414,1,1,,642324006,4/10/2000,36.09,,,http://environment.data.gov.uk/hydrology/id/measures/49b43b86-1f00-4df0-b7e0-d16e1e0aab6a-gw-dipped-i-mAOD-qualified,,260,4/10/2000,12/6/2023,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,37.01755905,24956.3029,Chalk
67,No trend,Cundall Sandstone,4a854eb5-c5c0-414c-8715-cebd4085ca89,442090,472497,54.14657,-1.357128,1,1,,SE47CD00SS,11/19/1986,18.55,,SS,http://environment.data.gov.uk/hydrology/id/measures/4a854eb5-c5c0-414c-8715-cebd4085ca89-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/4a854eb5-c5c0-414c-8715-cebd4085ca89-gw-logged-i-subdaily-mAOD-qualified,371,11/19/1986,6/29/2023,387877,2/15/1990,9/28/2023,Low productivity aquifer,Flow is virtually all through fractures and other discontinuities,18.49160576,143.0622618,Triassic sandstones
68,,Isleham Fen,3402a000-342b-4a12-aecb-3f11cde12d70,562809,279084,52.385574,0.390857,1,1,,TL67_026,9/17/1982,-0.97,,,http://environment.data.gov.uk/hydrology/id/measures/3402a000-342b-4a12-aecb-3f11cde12d70-gw-dipped-i-mAOD-qualified,,162,9/17/1982,12/13/2023,,,,Rocks with essentially no groundwater,,0.668164074,42224.53046,Lower Greensand
69,Sudden upward change,Whitworth Hall,72a62131-cf35-4f65-b5f7-a9fb3d043612,423711,535011,54.709543,-1.633509,1,1,,24-3-512,4/14/2000,,,,http://environment.data.gov.uk/hydrology/id/measures/72a62131-cf35-4f65-b5f7-a9fb3d043612-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/72a62131-cf35-4f65-b5f7-a9fb3d043612-gw-logged-i-subdaily-mAOD-qualified,263,4/14/2000,12/20/2023,197649,4/14/2000,10/23/2023,Moderately productive aquifer,Flow is virtually all through fractures and other discontinuities,89.8429184,2949.599833,#N/A
70,,Painsbrook,7b8dee44-4fc6-4218-96b5-f9b966335190,353185,320925,52.783851,-2.695538,1,1,,2896,9/19/2003,73.25,,,,http://environment.data.gov.uk/hydrology/id/measures/7b8dee44-4fc6-4218-96b5-f9b966335190-gw-logged-i-subdaily-mAOD-qualified,,,,179253,9/19/2003,3/1/2024,Highly productive aquifer,Significant intergranular flow,72.84960938,963.846844,Triassic sandstones
71,,Bow Wow,ba4127b8-b925-42df-b859-0932394be0bc,405535,197635,51.67745,-1.921342,1,2,,SU09_163,4/25/2004,88.97,2,Pleistocene Sands and Gravels,http://environment.data.gov.uk/hydrology/id/measures/ba4127b8-b925-42df-b859-0932394be0bc-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/ba4127b8-b925-42df-b859-0932394be0bc-gw-logged-i-subdaily-mAOD-qualified,111,4/25/2004,6/20/2023,24812,5/9/2021,3/13/2024,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,89.21156311,2648.133117,Oolites
72,,Dambridge Drift,1c578eb1-9f07-448e-8aa4-5e7ce09c392e_644610007,625179,157488,51.272022,1.226877,2,2,same,644610007,4/12/2006,5.83,,,,http://environment.data.gov.uk/hydrology/id/measures/1c578eb1-9f07-448e-8aa4-5e7ce09c392e_644610007-gw-logged-i-subdaily-mAOD-qualified,,,,150362,4/12/2006,6/7/2023,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,4.860437393,41596.96235,Oolites
73,,Dambridge Chalk,1c578eb1-9f07-448e-8aa4-5e7ce09c392e_644610006,625179,157488,51.272022,1.226877,2,2,same,644610006,4/12/2006,4.66,,,,http://environment.data.gov.uk/hydrology/id/measures/1c578eb1-9f07-448e-8aa4-5e7ce09c392e_644610006-gw-logged-i-subdaily-mAOD-qualified,,,,150361,4/12/2006,6/7/2023,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,4.860437393,41596.96235,Oolites
74,,Aughton Cliffs Farm,2c456f7e-37b7-45cd-bf6c-a103bd12ccb2,338185,409275,53.5764,-2.935024,1,1,,SD30_69,12/1/1982,,,,http://environment.data.gov.uk/hydrology/id/measures/2c456f7e-37b7-45cd-bf6c-a103bd12ccb2-gw-dipped-i-mAOD-qualified,,136,12/1/1982,9/14/2023,,,,Highly productive aquifer,Significant intergranular flow,19.20391846,3229.74193,Triassic sandstones
75,No trend,Pipstile Farm Uphampton,9adbd1d5-96aa-4eb6-b578-b9e4de87aee7,383541,264701,52.280196,-2.242666,1,1,,0317GW,11/15/1973,67.77,,,http://environment.data.gov.uk/hydrology/id/measures/9adbd1d5-96aa-4eb6-b578-b9e4de87aee7-gw-dipped-i-mAOD-qualified,,715,11/15/1973,11/20/2023,,,,Highly productive aquifer,Significant intergranular flow,66.90311432,2762.280056,Triassic sandstones
76,,Challenge Farm,196f85be-141a-411b-a59b-f6723ca0e889,580808,160497,51.314848,0.593064,1,1,,642222004,2/6/1985,163.4,,,http://environment.data.gov.uk/hydrology/id/measures/196f85be-141a-411b-a59b-f6723ca0e889-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/196f85be-141a-411b-a59b-f6723ca0e889-gw-logged-i-subdaily-mAOD-qualified,8186,2/6/1985,6/20/2023,591593,9/29/2003,6/20/2023,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,162.7789154,20181.11952,Chalk
77,No trend,Frome,6857fd53-b4fa-4871-8a02-19a32297d594,377287,149764,51.246587,-2.326782,1,1,,90874339,6/18/1974,,,,http://environment.data.gov.uk/hydrology/id/measures/6857fd53-b4fa-4871-8a02-19a32297d594-gw-dipped-i-mAOD-qualified,,858,6/18/1974,1/18/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,60.13240814,575.1844484,Oolites
78,No trend,Shortheath Pond,ace4c039-beca-4a57-823b-8520c579c504,477560,136820,51.125417,-0.893077,1,1,,TW73_5,4/23/2002,73.5,,"Lower Greensand, Folkestone Formation",http://environment.data.gov.uk/hydrology/id/measures/ace4c039-beca-4a57-823b-8520c579c504-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/ace4c039-beca-4a57-823b-8520c579c504-gw-logged-i-subdaily-mAOD-qualified,200,4/28/2002,2/7/2023,191656,4/23/2002,3/13/2024,Highly productive aquifer,Significant intergranular flow,74.02702332,25441.08492,Lower Greensand
79,,Hornsea,220de642-8e8f-49a8-8c7f-91730d87444d,518302,448799,53.921812,-0.200043,1,1,,TA14HS00CC,11/6/1978,,,CC,http://environment.data.gov.uk/hydrology/id/measures/220de642-8e8f-49a8-8c7f-91730d87444d-gw-dipped-i-mAOD-qualified,,487,11/6/1978,1/19/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,19.15652275,25915.13592,Chalk
80,No trend,Crudwell,a8c57c07-a2de-4dc9-88c5-953b3c176cb7,395655,192785,51.633851,-2.064169,1,1,,ST99_89,5/10/1983,94.96,52,Great Oolite,http://environment.data.gov.uk/hydrology/id/measures/a8c57c07-a2de-4dc9-88c5-953b3c176cb7-gw-dipped-i-mAOD-qualified,,537,5/10/1983,1/17/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,95.53489685,3670.736375,Oolites
81,Slow increasing,Wrelton Paddock,f4f9e29a-67e5-43a6-a9dc-e9fc88ef73a4,476580,485934,54.263332,-0.825793,1,1,,SE78WTP0CO,1/12/1981,41.55,,CO,http://environment.data.gov.uk/hydrology/id/measures/f4f9e29a-67e5-43a6-a9dc-e9fc88ef73a4-gw-dipped-i-mAOD-qualified,,460,1/12/1981,1/18/2024,,,,Moderately productive aquifer,Flow is virtually all through fractures and other discontinuities,41.52085114,1224.005719,Corallian Limestones
82,Sudden upward change,Black Hall Farm,f56bcdea-cec6-445f-858e-7eb3e28c13e1,427625,287725,52.48674,-1.594605,1,1,,1888GW,6/7/2004,117.4,,,http://environment.data.gov.uk/hydrology/id/measures/f56bcdea-cec6-445f-858e-7eb3e28c13e1-gw-dipped-i-mAOD-qualified,,219,6/7/2004,1/22/2024,,,,Moderately productive aquifer,Flow is virtually all through fractures and other discontinuities,118.1890106,1146.802223,#N/A
83,,Cockley Cley Copse,53aad76b-6d76-43b2-bfe5-23751dbc87d0,579672,303892,52.60309,0.65174,1,1,,TF70_127,8/7/1995,35.16,,,http://environment.data.gov.uk/hydrology/id/measures/53aad76b-6d76-43b2-bfe5-23751dbc87d0-gw-dipped-i-mAOD-qualified,,233,8/7/1995,7/7/2023,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,34.00589752,50078.61146,Chalk
84,,Westpoint,37624cbe-e179-4f97-8901-2c1d1454c1db,298697,91240,50.711934,-3.436166,1,1,,SX99G082,4/24/2007,24.86,,,,http://environment.data.gov.uk/hydrology/id/measures/37624cbe-e179-4f97-8901-2c1d1454c1db-gw-logged-i-subdaily-mAOD-qualified,,,,467202,4/24/2007,2/26/2024,Rocks with essentially no groundwater,,24.96103096,6257.047417,Permian Sandstones
85,,West Cowick,8d99a6b7-3f8a-4400-8890-c46c13c73521,464601,421302,53.684177,-1.023343,1,1,,SE62WCW2RD,11/24/1993,6.67,,RD,http://environment.data.gov.uk/hydrology/id/measures/8d99a6b7-3f8a-4400-8890-c46c13c73521-gw-dipped-i-mAOD-qualified,,354,11/24/1993,1/23/2024,,,,Highly productive aquifer,Significant intergranular flow,5.946015835,1214.954487,Triassic sandstones
86,,Iwerne Hill Farm,b35221a6-1049-4e08-9919-3a10ad732bc6,388580,114420,50.929113,-2.163861,1,1,,90181307,6/25/2008,,,,,http://environment.data.gov.uk/hydrology/id/measures/b35221a6-1049-4e08-9919-3a10ad732bc6-gw-logged-i-subdaily-mAOD-qualified,,,,549576,6/25/2008,2/27/2024,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,186.0513611,2665.718736,Chalk
87,Slow decreasing,Old Well House,1a4e369e-8a73-4f97-a001-531ea596d3ad,545070,153800,51.264897,0.077943,2,1,,441354050,10/4/1993,117.97,,,,http://environment.data.gov.uk/hydrology/id/measures/1a4e369e-8a73-4f97-a001-531ea596d3ad-gw-logged-i-subdaily-mAOD-qualified,,,,267963,10/4/1993,8/23/2023,Highly productive aquifer,Significant intergranular flow,119.5168381,8591.949549,Lower Greensand
88,Slow decreasing,Croxton Heath,2a5dd70d-52b1-4c00-bf20-1028b59326d1,589145,288195,52.458931,0.78252,1,1,,TL88_009,6/20/1977,38.41,,,http://environment.data.gov.uk/hydrology/id/measures/2a5dd70d-52b1-4c00-bf20-1028b59326d1-gw-dipped-i-mAOD-qualified,,499,6/20/1977,7/3/2023,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,37.97511673,61909.19532,Chalk
89,No trend,Sproxton,5852df4d-b7da-4af7-a422-1ad4b28d5332,462352,481645,54.22672,-1.045082,1,1,,SE68ST00CO,10/31/1972,71.28,,CO,http://environment.data.gov.uk/hydrology/id/measures/5852df4d-b7da-4af7-a422-1ad4b28d5332-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/5852df4d-b7da-4af7-a422-1ad4b28d5332-gw-logged-i-subdaily-mAOD-qualified,1095,10/31/1972,1/8/2024,469264,1/1/1984,11/9/2023,Rocks with essentially no groundwater,,71.12849426,2519.740571,Corallian Limestones
90,No trend,Mayhouse Farm,a41e0cb3-e54e-43ac-b052-610f601a0964,386475,262865,52.26377,-2.199586,1,1,,0553GW,4/12/1984,38.1,,,http://environment.data.gov.uk/hydrology/id/measures/a41e0cb3-e54e-43ac-b052-610f601a0964-gw-dipped-i-mAOD-qualified,,450,4/12/1984,11/20/2023,,,,Low productivity aquifer,Flow is virtually all through fractures and other discontinuities,37.08323669,371.337496,Triassic sandstones
91,No trend,Beenham,814c9091-9ccc-4512-93ab-5fd08df8d2a0,459335,169345,51.420017,-1.148079,1,1,,SU56_220,6/2/1980,100.39,144,Chalk,http://environment.data.gov.uk/hydrology/id/measures/814c9091-9ccc-4512-93ab-5fd08df8d2a0-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/814c9091-9ccc-4512-93ab-5fd08df8d2a0-gw-logged-i-subdaily-mAOD-qualified,747,6/2/1980,11/28/2023,213756,10/19/1999,3/13/2024,Rocks with essentially no groundwater,,99.51280212,16513.15861,Chalk
92,Slow increasing,Brislands Lane,ae17284d-6603-4a4d-b4d6-3c0379c258e2,465473,133500,51.097074,-1.066369,1,1,,142202725,3/8/1983,161.43,130.2,Seaford Chalk Member,http://environment.data.gov.uk/hydrology/id/measures/ae17284d-6603-4a4d-b4d6-3c0379c258e2-gw-dipped-i-mAOD-qualified,,221,3/8/1983,10/27/2023,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,161.3292999,36443.77525,Chalk
93,,Blackmore Farm,47950d9b-0e6e-49bd-b91b-314465833a80,426835,151855,51.26522,-1.61676,1,1,,141806377,2/15/1964,133.84,50.9,Seaford Chalk Member,http://environment.data.gov.uk/hydrology/id/measures/47950d9b-0e6e-49bd-b91b-314465833a80-gw-dipped-i-mAOD-qualified,,116,2/15/1964,10/25/2023,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,134.1482849,28840.67318,Chalk
94,No trend,Fox Hall,58ffea31-f875-40ef-8727-ff5692a7e6cf,332235,325805,52.825485,-3.007123,1,1,,2011GW,3/14/1979,77.91,,,http://environment.data.gov.uk/hydrology/id/measures/58ffea31-f875-40ef-8727-ff5692a7e6cf-gw-dipped-i-mAOD-qualified,,463,3/14/1979,8/2/2023,,,,Highly productive aquifer,Significant intergranular flow,77.65715027,2506.60904,Triassic sandstones
95,,Jevington,954b9841-6469-41cf-8597-487334362e72,556341,101386,50.790961,0.216779,1,1,,341515012,1/13/1977,74.55,46.94,Chalk Group (undivided),http://environment.data.gov.uk/hydrology/id/measures/954b9841-6469-41cf-8597-487334362e72-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/954b9841-6469-41cf-8597-487334362e72-gw-logged-i-subdaily-mAOD-qualified,3025,1/13/1977,12/13/2023,292571,11/7/2001,12/13/2023,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,73.28177643,7297.690853,Chalk
96,,Pickworth,b8cad42f-338d-48da-9ec7-ab923e5c7fca,504095,334375,52.896741,-0.45402,1,1,,3_629,6/1/1971,53.49,44.5,Lincolnshire Limestone,http://environment.data.gov.uk/hydrology/id/measures/b8cad42f-338d-48da-9ec7-ab923e5c7fca-gw-dipped-i-mAOD-qualified,,703,6/1/1971,1/8/2024,,,,Moderately productive aquifer,Flow is virtually all through fractures and other discontinuities,55.0868187,2530.655249,Oolites
97,,Rowton,6db14d79-b2bc-45e0-b7ef-dec22d39aba1,360925,319485,52.771524,-2.580615,1,1,,2062GW,5/5/1973,60,,,http://environment.data.gov.uk/hydrology/id/measures/6db14d79-b2bc-45e0-b7ef-dec22d39aba1-gw-dipped-i-mAOD-qualified,,324,5/5/1973,10/17/2023,,,,Highly productive aquifer,Significant intergranular flow,58.59719849,1311.133033,Permian Sandstones
98,No trend,Shawell Cottage,0a4f0d2c-7272-4a35-b486-baa48914ab2a_2848,349345,320265,52.777571,-2.752364,1,1,,2848,4/21/1998,107.19,,,,http://environment.data.gov.uk/hydrology/id/measures/0a4f0d2c-7272-4a35-b486-baa48914ab2a_2848-gw-logged-i-subdaily-mAOD-qualified,,,,189347,4/21/1998,3/1/2024,Highly productive aquifer,Significant intergranular flow,106.4843445,2560.813114,Triassic sandstones
99,No trend,Shawbury Park Wood,0a4f0d2c-7272-4a35-b486-baa48914ab2a_5006,355825,319105,52.767714,-2.656152,1,1,,5006,4/27/1999,67.85,,,,http://environment.data.gov.uk/hydrology/id/measures/0a4f0d2c-7272-4a35-b486-baa48914ab2a_5006-gw-logged-i-subdaily-mAOD-qualified,,,,212439,4/27/1999,3/1/2024,Highly productive aquifer,Significant intergranular flow,67.76834869,178.9606531,Permian Sandstones
100,,Shawbury Park S,0a4f0d2c-7272-4a35-b486-baa48914ab2a_2877,355355,320295,52.778372,-2.66328,2,3,same,2877,4/15/2003,67.85,,,,http://environment.data.gov.uk/hydrology/id/measures/0a4f0d2c-7272-4a35-b486-baa48914ab2a_2877-gw-logged-i-subdaily-mAOD-qualified,,,,170503,4/15/2003,3/1/2024,Highly productive aquifer,Significant intergranular flow,67.83636475,1395.859796,Permian Sandstones
101,Slow increasing,Shawbury Park A,0a4f0d2c-7272-4a35-b486-baa48914ab2a_5017GW,355355,320295,52.778372,-2.66328,2,3,same,5017GW,6/8/1999,67.79,,,http://environment.data.gov.uk/hydrology/id/measures/0a4f0d2c-7272-4a35-b486-baa48914ab2a_5017GW-gw-dipped-i-mAOD-qualified,,139,6/8/1999,5/10/2023,,,,Highly productive aquifer,Significant intergranular flow,67.83636475,1395.859796,Permian Sandstones
102,Sudden upward change,Ermin Farm,767dc62b-76c6-446e-95ee-c5adcb24669a,405544,199659,51.695648,-1.92118,1,1,,SU09_6B,1/28/1988,112.33,65,Great Oolite,http://environment.data.gov.uk/hydrology/id/measures/767dc62b-76c6-446e-95ee-c5adcb24669a-gw-dipped-i-mAOD-qualified,,423,1/28/1988,1/12/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,112.9208221,1707.588778,Oolites
103,Sudden upward change,Jubilee Bridge,6a354378-c07c-4b88-97cc-64e3365ca0b3,421000,534329,54.703534,-1.675633,1,1,,24-3-508,9/24/1993,,,,http://environment.data.gov.uk/hydrology/id/measures/6a354378-c07c-4b88-97cc-64e3365ca0b3-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/6a354378-c07c-4b88-97cc-64e3365ca0b3-gw-logged-i-subdaily-mAOD-qualified,227,1/23/2003,12/20/2023,271693,9/24/1993,10/23/2023,Moderately productive aquifer,Flow is virtually all through fractures and other discontinuities,56.94245529,3541.368261,#N/A
104,,Harnhill,5d9bca57-a235-407e-969a-e09312f6928d,406820,200070,51.699329,-1.902711,1,1,,SP00_110,3/17/1975,101.05,135,Inferior Oolite,http://environment.data.gov.uk/hydrology/id/measures/5d9bca57-a235-407e-969a-e09312f6928d-gw-dipped-i-mAOD-qualified,,1027,3/17/1975,1/12/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,100.0755157,601.2115347,Oolites
105,,Moor Drain Sleaford,63555bd0-1f0a-431f-bc94-5e9b04d2324a,508385,343345,52.976496,-0.38728,1,2,,2_630,2/15/1984,8.67,82,Lincolnshire Limestone,http://environment.data.gov.uk/hydrology/id/measures/63555bd0-1f0a-431f-bc94-5e9b04d2324a-gw-dipped-i-mAOD-qualified,,436,2/15/1984,1/4/2024,,,,Rocks with essentially no groundwater,,8.161273956,3149.377278,Oolites
106,No trend,Southover,3d4a1bed-b01b-4329-ad16-55321640ed6e,565221,271233,52.314334,0.422404,1,1,,TL67_099,1/1/1900,16.3,,,http://environment.data.gov.uk/hydrology/id/measures/3d4a1bed-b01b-4329-ad16-55321640ed6e-gw-dipped-i-mAOD-qualified,,323,1/1/1900,1/10/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,16.11675835,49195.48918,Chalk
